Subject-Experiment,accuracy,recall,f1_score
sub1ex1,86.86147804,86.86147804,86.17261096
sub1ex2,72.64621666,72.64621666,70.32025702
sub1ex3,84.34259812,84.34259812,83.04706684
sub2ex1,64.9118937,64.9118937,61.54023796
sub2ex2,71.88003356,71.88003356,68.99069848
sub2ex3,67.77601882,67.77601882,64.16214048
sub3ex1,73.22883416,73.22883416,68.82797931
sub3ex2,86.91303558,86.91303558,85.30160039
sub3ex3,83.9999481,83.9999481,81.68204675
sub4ex1,84.83870968,84.83870968,82.35904975
sub4ex2,69.09791607,69.09791607,65.31104363
sub4ex3,77.19089265,77.19089265,75.87336462
sub5ex1,78.92317408,78.92317408,75.74193249
sub5ex2,77.60862983,77.60862983,74.37554673
sub5ex3,81.74447876,81.74447876,80.45845728
sub6ex1,91.22622168,91.22622168,90.59889017
sub6ex2,88.29522747,88.29522747,86.2544283
sub6ex3,86.3087916,86.3087916,85.18765552
sub7ex1,69.81167657,69.81167657,66.12910258
sub7ex2,78.91140927,78.91140927,76.46706093
sub7ex3,80.48780699,80.48780699,76.02233292
sub8ex1,83.79934082,83.79934082,81.54460047
sub8ex2,79.49117207,79.49117207,76.20893646
sub8ex3,93.33610152,93.33610152,92.93117952
sub9ex1,88.78787879,88.78787879,88.26816431
sub9ex2,74.31085044,74.31085044,73.31899884
sub9ex3,72.76948763,72.76948763,68.89093117
sub10ex1,63.16049447,63.16049447,58.76632361
sub10ex2,73.31049577,73.31049577,69.99026947
sub10ex3,81.95858096,81.95858096,78.49901564
sub11ex1,71.19992387,71.19992387,68.37089205
sub11ex2,64.68619971,64.68619971,63.28227878
sub11ex3,98.9380531,98.9380531,98.92635211
sub12ex1,94.23178401,94.23178401,94.28444338
sub12ex2,75.48629313,75.48629313,72.73523703
sub12ex3,97.5906366,97.5906366,97.51687208
sub13ex1,78.80085468,78.80085468,77.74115867
sub13ex2,69.86375315,69.86375315,69.09384045
sub13ex3,73.71707368,73.71707368,69.61633018
sub14ex1,87.04417858,87.04417858,86.50050663
sub14ex2,69.28027059,69.28027059,67.12378933
sub14ex3,77.49496103,77.49496103,75.91448352
sub15ex1,83.15634218,83.15634218,79.52937998
sub15ex2,87.74306006,87.74306006,86.05921562
sub15ex3,92.18842724,92.18842724,89.88186879
Average,79.76336012,79.76336012,77.55152381
