Subject-Experiment,accuracy,recall,f1_score
sub1ex1,76.35135252,76.35135252,75.56523252
sub1ex2,73.13212052,73.13212052,71.52557656
sub1ex3,67.38561752,67.38561752,66.00302725
sub2ex1,56.60507444,56.60507444,52.65327951
sub2ex2,57.94712757,57.94712757,52.58045088
sub2ex3,58.85518041,58.85518041,52.94094998
sub3ex1,66.75697887,66.75697887,61.89731273
sub3ex2,83.58523863,83.58523863,82.65377111
sub3ex3,77.75811209,77.75811209,73.52739307
sub4ex1,79.10440402,79.10440402,76.02897565
sub4ex2,62.93497349,62.93497349,56.05394947
sub4ex3,71.44283255,71.44283255,67.25981246
sub5ex1,74.06863381,74.06863381,70.85449907
sub5ex2,76.66978088,76.66978088,75.94902468
sub5ex3,56.65507487,56.65507487,50.03523908
sub6ex1,77.71953045,77.71953045,74.55181482
sub6ex2,85.81008486,85.81008486,82.72742628
sub6ex3,82.41732195,82.41732195,79.19394583
sub7ex1,83.60202078,83.60202078,80.46007649
sub7ex2,95.60471976,95.60471976,95.24161396
sub7ex3,72.20918866,72.20918866,71.09903544
sub8ex1,81.2556337,81.2556337,79.65604463
sub8ex2,77.35058262,77.35058262,75.61428469
sub8ex3,93.78982517,93.78982517,93.55076286
sub9ex1,82.2752792,82.2752792,81.41606347
sub9ex2,74.72590593,74.72590593,70.53324132
sub9ex3,69.63053314,69.63053314,66.44789662
sub10ex1,68.14505316,68.14505316,64.62290717
sub10ex2,66.8608725,66.8608725,62.98042246
sub10ex3,68.96080416,68.96080416,63.35640593
sub11ex1,73.54172614,73.54172614,67.42143832
sub11ex2,71.64940873,71.64940873,72.16205441
sub11ex3,87.63086186,87.63086186,85.53405126
sub12ex1,72.61317139,72.61317139,65.91701626
sub12ex2,74.13385929,74.13385929,68.37563616
sub12ex3,86.860959,86.860959,86.10380795
sub13ex1,84.47062691,84.47062691,84.0497091
sub13ex2,89.90484347,89.90484347,89.06921146
sub13ex3,84.57841331,84.57841331,81.34826906
sub14ex1,58.31685395,58.31685395,53.78934244
sub14ex2,66.52817066,66.52817066,64.3276658
sub14ex3,77.94435938,77.94435938,74.1988124
sub15ex1,89.10492305,89.10492305,87.54880578
sub15ex2,91.7582332,91.7582332,91.48249223
sub15ex3,90.18616078,90.18616078,88.74365422
Average,75.97405399,75.97405399,73.04560895
