Subject-Experiment,accuracy,recall,f1_score
sub1ex1,77.28293497,77.28293497,75.00481232
sub1ex2,60.51185564,60.51185564,55.45006809
sub1ex3,73.47511657,73.47511657,71.9648216
sub2ex1,67.51987474,67.51987474,65.19646152
sub2ex2,57.98501717,57.98501717,54.43821123
sub2ex3,47.54781616,47.54781616,41.6095568
sub3ex1,39.97759496,39.97759496,32.19340577
sub3ex2,65.2570524,65.2570524,61.3395374
sub3ex3,82.55365531,82.55365531,80.52768075
sub4ex1,78.9963581,78.9963581,79.02662231
sub4ex2,48.6903866,48.6903866,43.12100596
sub4ex3,63.39302243,63.39302243,60.95355407
sub5ex1,73.25348835,73.25348835,69.74751872
sub5ex2,75.62963347,75.62963347,74.72917477
sub5ex3,62.78159846,62.78159846,58.68900314
sub6ex1,80.36955337,80.36955337,80.17355216
sub6ex2,67.10724141,67.10724141,62.63653283
sub6ex3,87.57013469,87.57013469,87.41983577
sub7ex1,72.88687618,72.88687618,69.98741405
sub7ex2,72.91352001,72.91352001,69.44675569
sub7ex3,80.98919541,80.98919541,79.98913599
sub8ex1,72.44742602,72.44742602,70.21581529
sub8ex2,82.34353238,82.34353238,79.95113445
sub8ex3,76.23084975,76.23084975,72.24278419
sub9ex1,89.86392616,89.86392616,89.25526615
sub9ex2,57.07047639,57.07047639,51.23159359
sub9ex3,56.14373827,56.14373827,50.07333947
sub10ex1,56.8448689,56.8448689,53.82894659
sub10ex2,63.26931894,63.26931894,59.47821349
sub10ex3,73.62217666,73.62217666,69.84784462
sub11ex1,61.6168825,61.6168825,57.2877981
sub11ex2,81.85425479,81.85425479,81.13084092
sub11ex3,88.1120944,88.1120944,87.04082656
sub12ex1,78.54903589,78.54903589,77.15726303
sub12ex2,74.57945138,74.57945138,72.36423375
sub12ex3,79.47551449,79.47551449,78.40814144
sub13ex1,75.95281966,75.95281966,75.59039533
sub13ex2,82.63955571,82.63955571,82.2329941
sub13ex3,36.30100606,36.30100606,33.38431695
sub14ex1,80.03728406,80.03728406,80.28888304
sub14ex2,61.74889056,61.74889056,58.83443766
sub14ex3,70.39239094,70.39239094,68.76688985
sub15ex1,69.95008607,69.95008607,68.45536262
sub15ex2,76.33517591,76.33517591,73.85837701
sub15ex3,89.58952932,89.58952932,89.21629252
Average,70.48138248,70.48138248,67.86192559
