Subject-Experiment,accuracy,recall,f1_score
sub1ex1,74.18593586,74.18593586,71.80982248
sub1ex2,53.91162553,53.91162553,46.36325285
sub1ex3,65.25142951,65.25142951,60.30545236
sub2ex1,67.50586078,67.50586078,65.23867295
sub2ex2,65.01907456,65.01907456,63.11934854
sub2ex3,50.07327053,50.07327053,40.5139584
sub3ex1,59.7203263,59.7203263,54.74791053
sub3ex2,74.98568327,74.98568327,73.03647843
sub3ex3,57.91347676,57.91347676,53.37976041
sub4ex1,69.86548327,69.86548327,68.1172797
sub4ex2,48.44159552,48.44159552,39.23215701
sub4ex3,67.84487755,67.84487755,64.69984482
sub5ex1,79.26686217,79.26686217,77.67530203
sub5ex2,70.37673336,70.37673336,67.56064979
sub5ex3,77.17722472,77.17722472,74.48346523
sub6ex1,84.47313558,84.47313558,82.60998658
sub6ex2,82.46048841,82.46048841,79.73993578
sub6ex3,87.25931885,87.25931885,86.06084221
sub7ex1,72.90210123,72.90210123,68.34471628
sub7ex2,79.43321309,79.43321309,78.12744406
sub7ex3,51.82207459,51.82207459,49.42617218
sub8ex1,67.6809488,67.6809488,64.84581523
sub8ex2,63.87849376,63.87849376,60.52428829
sub8ex3,70.70087111,70.70087111,69.80511501
sub9ex1,85.06431717,85.06431717,84.36200706
sub9ex2,70.95009472,70.95009472,66.21276779
sub9ex3,52.48765128,52.48765128,48.38701773
sub10ex1,44.62426146,44.62426146,40.31453974
sub10ex2,67.35352382,67.35352382,63.93499907
sub10ex3,71.04118548,71.04118548,67.53855383
sub11ex1,65.29044369,65.29044369,61.28299763
sub11ex2,78.74756702,78.74756702,78.02307877
sub11ex3,80.71402002,80.71402002,78.94698268
sub12ex1,79.51842144,79.51842144,77.70659375
sub12ex2,79.94204102,79.94204102,76.06495155
sub12ex3,72.78990303,72.78990303,71.67051371
sub13ex1,67.08578794,67.08578794,62.86862768
sub13ex2,78.93121913,78.93121913,77.81023312
sub13ex3,50.93858943,50.93858943,45.58524347
sub14ex1,68.75474701,68.75474701,66.01858429
sub14ex2,65.02737913,65.02737913,63.5706867
sub14ex3,82.33012396,82.33012396,81.16499417
sub15ex1,58.23666295,58.23666295,52.94191981
sub15ex2,87.3808597,87.3808597,85.40939446
sub15ex3,78.31996817,78.31996817,73.97656928
Average,69.50397495,69.50397495,66.3013095
