Subject-Experiment,accuracy,recall,f1_score
sub1ex1,81.48253878,81.48253878,80.97364793
sub1ex2,70.52699418,70.52699418,68.39262526
sub1ex3,72.0772671,72.0772671,71.53815845
sub2ex1,55.17997561,55.17997561,50.0016232
sub2ex2,62.56697722,62.56697722,57.9835033
sub2ex3,65.28966514,65.28966514,60.96190817
sub3ex1,67.70110468,67.70110468,63.28554467
sub3ex2,85.03481864,85.03481864,84.46162201
sub3ex3,82.50737463,82.50737463,80.08172195
sub4ex1,69.18623864,69.18623864,64.75121943
sub4ex2,62.9453542,62.9453542,57.26046715
sub4ex3,72.15356534,72.15356534,68.12209522
sub5ex1,77.34262407,77.34262407,72.94428884
sub5ex2,81.97172986,81.97172986,82.20296954
sub5ex3,63.31983841,63.31983841,56.26104876
sub6ex1,79.69143332,79.69143332,77.04224103
sub6ex2,84.36344605,84.36344605,81.31893294
sub6ex3,81.33262398,81.33262398,78.78344059
sub7ex1,82.83886539,82.83886539,79.05954742
sub7ex2,95.40151731,95.40151731,95.05897257
sub7ex3,72.29941435,72.29941435,71.2585884
sub8ex1,79.2542323,79.2542323,76.80724481
sub8ex2,80.87933287,80.87933287,80.16390991
sub8ex3,92.58003962,92.58003962,92.12401721
sub9ex1,84.71881245,84.71881245,83.52262871
sub9ex2,73.10348705,73.10348705,68.80317908
sub9ex3,66.24408516,66.24408516,63.06685768
sub10ex1,69.32343705,69.32343705,65.43434003
sub10ex2,63.06438637,63.06438637,58.65523959
sub10ex3,71.76385609,71.76385609,66.384184
sub11ex1,76.31303039,76.31303039,71.20489682
sub11ex2,73.94856357,73.94856357,74.58067391
sub11ex3,88.27948339,88.27948339,86.77008405
sub12ex1,76.18041679,76.18041679,70.20305262
sub12ex2,75.6080935,75.6080935,70.41477351
sub12ex3,82.02510402,82.02510402,80.86325355
sub13ex1,77.5964325,77.5964325,77.11568644
sub13ex2,87.34279708,87.34279708,86.12968315
sub13ex3,82.88800076,82.88800076,81.26517539
sub14ex1,58.69514442,58.69514442,55.444268
sub14ex2,66.96961046,66.96961046,65.01105242
sub14ex3,77.17774375,77.17774375,73.99056016
sub15ex1,89.89982612,89.89982612,88.33364225
sub15ex2,94.48498689,94.48498689,94.44048159
sub15ex3,91.2498378,91.2498378,89.42013017
Average,76.55120238,76.55120238,73.81984849
