Subject-Experiment,accuracy,recall,f1_score
sub1ex1,74.51439891,74.51439891,72.34677577
sub1ex2,48.56780768,48.56780768,43.33896834
sub1ex3,71.43989135,71.43989135,68.40269251
sub2ex1,65.92470523,65.92470523,62.91567743
sub2ex2,59.78062094,59.78062094,56.60636882
sub2ex3,48.5113193,48.5113193,41.96929223
sub3ex1,41.83807818,41.83807818,34.39707924
sub3ex2,54.54692515,54.54692515,49.30741524
sub3ex3,59.36876617,59.36876617,55.15276385
sub4ex1,64.75445289,64.75445289,62.91682162
sub4ex2,44.97080425,44.97080425,39.93218109
sub4ex3,66.00974057,66.00974057,62.8652569
sub5ex1,80.95485255,80.95485255,79.85908365
sub5ex2,67.85396067,67.85396067,65.42954548
sub5ex3,61.19940484,61.19940484,55.91510308
sub6ex1,83.19864359,83.19864359,82.7519282
sub6ex2,69.52776408,69.52776408,66.5976477
sub6ex3,86.92307027,86.92307027,86.5640124
sub7ex1,73.42425107,73.42425107,70.44877695
sub7ex2,74.29493335,74.29493335,70.71721762
sub7ex3,58.04427374,58.04427374,55.1368018
sub8ex1,58.94454104,58.94454104,54.1889225
sub8ex2,71.01601225,71.01601225,66.64394153
sub8ex3,69.91816538,69.91816538,66.70127875
sub9ex1,67.54176074,67.54176074,64.82866412
sub9ex2,49.70691788,49.70691788,43.33094528
sub9ex3,38.21365237,38.21365237,33.08427879
sub10ex1,58.2287044,58.2287044,54.41651183
sub10ex2,59.87214422,59.87214422,55.35436728
sub10ex3,68.11183488,68.11183488,64.59432358
sub11ex1,60.13529529,60.13529529,55.62967393
sub11ex2,71.33668976,71.33668976,70.85664564
sub11ex3,78.23060753,78.23060753,74.72439095
sub12ex1,73.0298705,73.0298705,71.15782
sub12ex2,66.69590567,66.69590567,64.06603471
sub12ex3,62.03176498,62.03176498,59.9778541
sub13ex1,51.94396145,51.94396145,47.11476784
sub13ex2,67.29833303,67.29833303,62.41513065
sub13ex3,32.43669928,32.43669928,25.45617914
sub14ex1,62.99803632,62.99803632,58.86104572
sub14ex2,56.60818865,56.60818865,50.85379593
sub14ex3,63.52148375,63.52148375,59.54138504
sub15ex1,66.56986652,66.56986652,63.85438593
sub15ex2,85.7858632,85.7858632,84.92362269
sub15ex3,77.35568647,77.35568647,73.20460441
Average,63.8484589,63.8484589,60.20782178
