Subject-Experiment,accuracy,recall,f1_score
sub1ex1,80.13460324,80.13460324,77.91691389
sub1ex2,63.9956228,63.9956228,60.88186796
sub1ex3,75.51137986,75.51137986,74.01638914
sub2ex1,68.40690663,68.40690663,66.89704916
sub2ex2,60.09783822,60.09783822,57.3272319
sub2ex3,46.9380358,46.9380358,41.32334526
sub3ex1,39.98503447,39.98503447,33.24567413
sub3ex2,64.28126541,64.28126541,59.06834439
sub3ex3,83.02684279,83.02684279,80.91360053
sub4ex1,74.52175192,74.52175192,74.04662117
sub4ex2,48.06226697,48.06226697,42.77444463
sub4ex3,61.83323385,61.83323385,59.96389472
sub5ex1,71.43271136,71.43271136,67.76170082
sub5ex2,75.09675689,75.09675689,74.10483344
sub5ex3,62.26014066,62.26014066,57.60104047
sub6ex1,79.10353896,79.10353896,78.91160281
sub6ex2,69.95648751,69.95648751,67.03060935
sub6ex3,86.33431085,86.33431085,85.90501075
sub7ex1,73.56395817,73.56395817,71.17305819
sub7ex2,68.40768519,68.40768519,65.05716699
sub7ex3,74.30315141,74.30315141,71.22469164
sub8ex1,70.35199266,70.35199266,67.3107575
sub8ex2,75.59892387,75.59892387,72.01296903
sub8ex3,75.61864722,75.61864722,72.13677013
sub9ex1,75.30194898,75.30194898,74.1859667
sub9ex2,42.70028287,42.70028287,37.07169281
sub9ex3,44.20479416,44.20479416,38.69246691
sub10ex1,60.14351335,60.14351335,57.54978909
sub10ex2,67.8353619,67.8353619,64.97900849
sub10ex3,75.48058374,75.48058374,71.1755151
sub11ex1,62.79924567,62.79924567,58.68949427
sub11ex2,83.1143868,83.1143868,82.33965753
sub11ex3,87.66961652,87.66961652,86.64978628
sub12ex1,80.48919108,80.48919108,79.01538153
sub12ex2,69.70319812,69.70319812,67.3733193
sub12ex3,72.03686883,72.03686883,71.30215584
sub13ex1,74.80030104,74.80030104,74.05100653
sub13ex2,82.71135563,82.71135563,81.8131354
sub13ex3,32.61369043,32.61369043,29.28430826
sub14ex1,76.23110927,76.23110927,76.12436842
sub14ex2,62.09595239,62.09595239,58.18638836
sub14ex3,72.30598881,72.30598881,71.35133405
sub15ex1,73.89648699,73.89648699,71.59964114
sub15ex2,77.45490878,77.45490878,73.68711016
sub15ex3,85.59555013,85.59555013,84.37085692
Average,69.0668316,69.0668316,66.40217714
