Subject-Experiment,accuracy,recall,f1_score
sub1ex1,71.43842075,71.43842075,68.11146145
sub1ex2,55.24234639,55.24234639,50.5473813
sub1ex3,67.19712108,67.19712108,62.37718292
sub2ex1,64.38870578,64.38870578,62.32976599
sub2ex2,71.74664141,71.74664141,71.05180784
sub2ex3,49.48779834,49.48779834,39.81826114
sub3ex1,43.75513629,43.75513629,36.88065638
sub3ex2,71.84811287,71.84811287,69.58852606
sub3ex3,62.345176,62.345176,57.94882747
sub4ex1,64.05548491,64.05548491,60.9766123
sub4ex2,51.79716088,51.79716088,44.29074571
sub4ex3,68.96824367,68.96824367,66.1160488
sub5ex1,82.48445056,82.48445056,81.21763033
sub5ex2,65.75697022,65.75697022,62.75200715
sub5ex3,75.1406154,75.1406154,70.87849852
sub6ex1,89.41521985,89.41521985,88.81105477
sub6ex2,71.25719081,71.25719081,68.83808158
sub6ex3,85.57894099,85.57894099,84.11385317
sub7ex1,71.42527184,71.42527184,67.4478752
sub7ex2,74.08031211,74.08031211,70.70726662
sub7ex3,62.42709712,62.42709712,60.53097493
sub8ex1,64.22166282,64.22166282,61.78024914
sub8ex2,72.75884739,72.75884739,68.98644155
sub8ex3,69.63805915,69.63805915,67.27586352
sub9ex1,78.20206057,78.20206057,77.64454202
sub9ex2,63.94415177,63.94415177,60.37049995
sub9ex3,35.6766062,35.6766062,31.79144411
sub10ex1,59.96738726,59.96738726,56.3740477
sub10ex2,64.84718726,64.84718726,61.44989791
sub10ex3,69.1346811,69.1346811,67.0423854
sub11ex1,64.81258488,64.81258488,60.49795786
sub11ex2,72.86922897,72.86922897,72.20150333
sub11ex3,78.32619659,78.32619659,75.62159973
sub12ex1,78.10889368,78.10889368,75.93456549
sub12ex2,73.02874592,73.02874592,69.21743343
sub12ex3,81.12085745,81.12085745,81.03349186
sub13ex1,57.58060191,57.58060191,52.17926604
sub13ex2,73.39501207,73.39501207,72.98548582
sub13ex3,32.96248237,32.96248237,28.0262077
sub14ex1,67.42558327,67.42558327,65.07760282
sub14ex2,50.48668241,50.48668241,45.48778843
sub14ex3,74.37053954,74.37053954,71.21243167
sub15ex1,66.12392841,66.12392841,62.93264912
sub15ex2,94.84606268,94.84606268,94.71275593
sub15ex3,84.7881037,84.7881037,82.89276513
Average,67.74383477,67.74383477,64.62363101
