Subject-Experiment,accuracy,recall,f1_score
sub1ex1,77.14815872,77.14815872,74.66126991
sub1ex2,71.49681226,71.49681226,66.74160651
sub1ex3,75.56804125,75.56804125,74.31619005
sub2ex1,70.61929601,70.61929601,67.65157522
sub2ex2,74.02088253,74.02088253,73.10740734
sub2ex3,66.28154223,66.28154223,61.61570184
sub3ex1,69.48035883,69.48035883,65.68183893
sub3ex2,78.68658033,78.68658033,77.32346957
sub3ex3,73.729098,73.729098,71.06271117
sub4ex1,69.58529053,69.58529053,65.32952858
sub4ex2,51.83859722,51.83859722,45.06385643
sub4ex3,69.58373342,69.58373342,67.59140405
sub5ex1,73.27909411,73.27909411,72.07159804
sub5ex2,86.33967422,86.33967422,85.62103127
sub5ex3,79.97456725,79.97456725,76.51891364
sub6ex1,92.72130382,92.72130382,92.28018624
sub6ex2,84.68775681,84.68775681,82.45511464
sub6ex3,87.44686373,87.44686373,86.13193334
sub7ex1,71.02094309,71.02094309,66.24780298
sub7ex2,92.09439528,92.09439528,91.34637991
sub7ex3,59.30596285,59.30596285,56.53774756
sub8ex1,77.02021644,77.02021644,73.53481839
sub8ex2,70.03961972,70.03961972,66.89952256
sub8ex3,80.20155884,80.20155884,79.03208446
sub9ex1,90.77613128,90.77613128,89.66184336
sub9ex2,69.45103331,69.45103331,65.03849225
sub9ex3,60.56869004,60.56869004,56.9696578
sub10ex1,64.70047319,64.70047319,60.73403749
sub10ex2,71.09793337,71.09793337,68.91553932
sub10ex3,68.34150814,68.34150814,64.291241
sub11ex1,64.43792766,64.43792766,60.18978947
sub11ex2,78.51971038,78.51971038,78.12324108
sub11ex3,85.75792178,85.75792178,84.04929887
sub12ex1,78.01365064,78.01365064,75.66248147
sub12ex2,80.42180296,80.42180296,76.58235079
sub12ex3,86.10680023,86.10680023,83.91137786
sub13ex1,71.80555195,71.80555195,68.50167088
sub13ex2,82.75374354,82.75374354,82.69805146
sub13ex3,73.27217363,73.27217363,70.30365323
sub14ex1,71.43314389,71.43314389,67.35066228
sub14ex2,71.21186169,71.21186169,69.57036011
sub14ex3,83.2483845,83.2483845,82.13190371
sub15ex1,61.26177562,61.26177562,52.25482078
sub15ex2,91.00294985,91.00294985,88.77606416
sub15ex3,83.48238307,83.48238307,80.28866285
Average,75.32968663,75.32968663,72.55175317
