Subject-Experiment,accuracy,recall,f1_score
sub1ex1,87.90560472,87.90560472,87.44428747
sub1ex2,78.15379026,78.15379026,74.49128623
sub1ex3,79.59420064,79.59420064,78.85550748
sub2ex1,77.2818969,77.2818969,75.43701335
sub2ex2,77.73103574,77.73103574,75.98633256
sub2ex3,78.23052103,78.23052103,76.49007901
sub3ex1,75.47072207,75.47072207,71.241645
sub3ex2,84.99701555,84.99701555,83.08266234
sub3ex3,87.90560472,87.90560472,85.70034027
sub4ex1,87.99539788,87.99539788,85.74320364
sub4ex2,70.60545506,70.60545506,66.27394889
sub4ex3,75.22158496,75.22158496,72.85353044
sub5ex1,80.06479295,80.06479295,76.71837612
sub5ex2,85.02426492,85.02426492,83.61970988
sub5ex3,82.22078046,82.22078046,81.10496618
sub6ex1,95.14571925,95.14571925,95.01754003
sub6ex2,82.1369562,82.1369562,80.24664676
sub6ex3,82.80521458,82.80521458,80.99129241
sub7ex1,71.29127415,71.29127415,66.85567681
sub7ex2,80.95225737,80.95225737,77.97711129
sub7ex3,78.89696278,78.89696278,74.79315353
sub8ex1,82.65858701,82.65858701,81.2004118
sub8ex2,80.02162648,80.02162648,77.99241809
sub8ex3,90.10181749,90.10181749,89.05112527
sub9ex1,87.52394052,87.52394052,86.64525484
sub9ex2,79.17741503,79.17741503,78.60774493
sub9ex3,74.53905311,74.53905311,71.19575398
sub10ex1,60.91722247,60.91722247,55.54436523
sub10ex2,73.03013002,73.03013002,69.84422452
sub10ex3,85.1304077,85.1304077,83.0261754
sub11ex1,75.87375323,75.87375323,71.65672301
sub11ex2,75.87591588,75.87591588,75.74491564
sub11ex3,93.69890743,93.69890743,93.4965126
sub12ex1,88.25119594,88.25119594,88.15001525
sub12ex2,80.5550221,80.5550221,78.94164295
sub12ex3,97.03414389,97.03414389,96.92186604
sub13ex1,74.49493508,74.49493508,72.35978663
sub13ex2,82.86135693,82.86135693,81.62153107
sub13ex3,75.47816158,75.47816158,72.18035767
sub14ex1,90.46514243,90.46514243,90.01101556
sub14ex2,67.01857283,67.01857283,65.04738132
sub14ex3,78.35387849,78.35387849,77.23485036
sub15ex1,76.99711935,76.99711935,72.03537441
sub15ex2,90.96454122,90.96454122,90.43552318
sub15ex3,95.01474926,95.01474926,94.25562563
Average,81.23708106,81.23708106,79.20277567
