Subject-Experiment,accuracy,recall,f1_score
sub1ex1,84.661286,84.661286,84.23414399
sub1ex2,70.39896539,70.39896539,68.16631473
sub1ex3,75.87306119,75.87306119,75.14899438
sub2ex1,59.22265764,59.22265764,55.96472214
sub2ex2,65.52599936,65.52599936,62.71279986
sub2ex3,68.26399882,68.26399882,65.25823893
sub3ex1,74.27546951,74.27546951,70.0474908
sub3ex2,80.90294899,80.90294899,79.80878891
sub3ex3,78.76106195,78.76106195,75.20128183
sub4ex1,79.37179387,79.37179387,76.36569297
sub4ex2,62.04828761,62.04828761,54.99303974
sub4ex3,71.44594676,71.44594676,67.07003936
sub5ex1,75.22253653,75.22253653,71.20753471
sub5ex2,83.49215824,83.49215824,82.9396111
sub5ex3,58.27559062,58.27559062,52.76621071
sub6ex1,81.33885241,81.33885241,79.11628099
sub6ex2,85.66155417,85.66155417,82.50234049
sub6ex3,82.41524581,82.41524581,79.40264511
sub7ex1,81.5411033,81.5411033,77.78495179
sub7ex2,96.31268437,96.31268437,96.03207797
sub7ex3,73.27303869,73.27303869,72.44974302
sub8ex1,80.20354847,80.20354847,77.65651308
sub8ex2,84.61699496,84.61699496,84.04710609
sub8ex3,93.46413031,93.46413031,93.22298353
sub9ex1,82.77692714,82.77692714,82.23123636
sub9ex2,74.96189413,74.96189413,70.78640139
sub9ex3,65.30030537,65.30030537,61.87051616
sub10ex1,65.37115373,65.37115373,60.7688838
sub10ex2,64.47426016,64.47426016,60.00415414
sub10ex3,68.40517652,68.40517652,62.88344354
sub11ex1,76.21917145,76.21917145,72.36676601
sub11ex2,70.39567816,70.39567816,69.94673672
sub11ex3,88.65863892,88.65863892,87.31207661
sub12ex1,73.82018876,73.82018876,67.24764856
sub12ex2,76.28431042,76.28431042,71.22207944
sub12ex3,83.05789842,83.05789842,82.02502255
sub13ex1,81.81160737,81.81160737,79.95403058
sub13ex2,90.69957353,90.69957353,90.27603375
sub13ex3,83.67736745,83.67736745,81.56072671
sub14ex1,66.62090503,66.62090503,60.99121487
sub14ex2,69.29393853,69.29393853,66.76235273
sub14ex3,78.44116299,78.44116299,75.49038401
sub15ex1,90.19498439,90.19498439,88.47506854
sub15ex2,97.40412979,97.40412979,97.36733465
sub15ex3,92.19102241,92.19102241,90.62223557
Average,77.4806491,77.4806491,74.76141984
