Subject-Experiment,accuracy,recall,f1_score
sub1ex1,78.38519364,78.38519364,77.72970867
sub1ex2,64.238964,64.238964,61.37857038
sub1ex3,67.1827611,67.1827611,64.93893056
sub2ex1,48.38052232,48.38052232,42.24204101
sub2ex2,56.9235028,56.9235028,51.17030662
sub2ex3,64.9351638,64.9351638,60.47243163
sub3ex1,68.79289613,68.79289613,64.41351487
sub3ex2,83.02597773,83.02597773,81.0116041
sub3ex3,80.08849558,80.08849558,76.9073155
sub4ex1,76.3379441,76.3379441,72.57394681
sub4ex2,63.83956609,63.83956609,57.56462584
sub4ex3,71.6227649,71.6227649,67.57786236
sub5ex1,71.90814799,71.90814799,69.28002799
sub5ex2,83.61084438,83.61084438,80.59835571
sub5ex3,58.86478257,58.86478257,49.57506503
sub6ex1,74.95886643,74.95886643,71.18763114
sub6ex2,85.48404398,85.48404398,82.89136032
sub6ex3,78.02342581,78.02342581,74.42666901
sub7ex1,79.23918027,79.23918027,75.33409029
sub7ex2,92.36161212,92.36161212,91.2509816
sub7ex3,61.09239699,61.09239699,58.21529465
sub8ex1,71.5411033,71.5411033,69.8430656
sub8ex2,81.0109084,81.0109084,78.45566467
sub8ex3,89.98192026,89.98192026,88.75079502
sub9ex1,80.91540584,80.91540584,80.22979468
sub9ex2,74.99139266,74.99139266,70.82835648
sub9ex3,67.5659824,67.5659824,64.42160951
sub10ex1,61.68072388,61.68072388,57.20692021
sub10ex2,62.3029611,62.3029611,60.04173202
sub10ex3,67.92870181,67.92870181,61.49833157
sub11ex1,71.24378239,71.24378239,64.97670411
sub11ex2,72.00166091,72.00166091,72.60343183
sub11ex3,87.42575628,87.42575628,85.44205661
sub12ex1,71.6140278,71.6140278,64.77178657
sub12ex2,77.60862983,77.60862983,72.3218873
sub12ex3,86.68396785,86.68396785,86.17833229
sub13ex1,81.37155166,81.37155166,81.80116557
sub13ex2,82.11913598,82.11913598,81.23105996
sub13ex3,89.55795465,89.55795465,88.01604293
sub14ex1,67.1987647,67.1987647,60.13073062
sub14ex2,65.02270781,65.02270781,62.15184887
sub14ex3,77.97420393,77.97420393,74.19440502
sub15ex1,86.44780664,86.44780664,85.49082766
sub15ex2,91.2512219,91.2512219,90.14508668
sub15ex3,87.91356327,87.91356327,85.96359828
Average,74.72557529,74.72557529,71.49856818
